estimator,level,code,train_prevalence,mean_true_share,bias,ci_low,ci_high
pa,leaf,416.2,0.0298,0.03007,0.00056,-0.00549,0.00568
pa,leaf,501,0.05621,0.0573,0.00023,-0.00826,0.00805
pa,leaf,502,0.02005,0.01581,-0.00333,-0.00816,0.00054
pa,leaf,503,0.06674,0.08281,0.00332,-0.00894,0.01478
pa,leaf,504,0.13094,0.12198,-0.00087,-0.0131,0.01163
pa,leaf,505,0.00339,0.00481,-0.00113,-0.004,0.00139
pa,leaf,506,0.04602,0.05713,-0.0033,-0.01005,0.00302
pa,leaf,507,0.00052,0.00159,-0.00094,-0.00298,0.0005
pa,leaf,601.1,0.01687,0.012,0.00844,0.00412,0.01266
pa,leaf,601.2,0.00307,0.0097,-0.00619,-0.01313,-0.00083
pa,leaf,602.1,0.00108,0.00056,0.00072,7e-05,0.00138
pa,leaf,602.2,0.00745,0.00638,0.00215,-0.00137,0.00559
pa,leaf,603,0.0042,0.01357,-0.00728,-0.0159,-0.00043
pa,leaf,604,0.0024,0.00484,-0.00096,-0.00474,0.00198
pa,leaf,605.1,0.0464,0.04907,-0.00447,-0.01402,0.00377
pa,leaf,605.2,0.00577,0.00558,0.00348,-0.00041,0.00728
pa,leaf,606.1,0.00746,0.00761,0.00115,-0.0009,0.00296
pa,leaf,607.1,0.00518,0.00472,-0.00024,-0.00335,0.00193
pa,leaf,607.2,0.00294,0.00228,0.0004,-0.00131,0.00169
pa,leaf,607.3,0.01272,0.01421,-0.00041,-0.0045,0.0032
pa,leaf,701,0.03991,0.04103,-0.00072,-0.00653,0.00473
pa,leaf,702,0.00199,0.00122,0.00058,-0.00091,0.00185
pa,leaf,703.1,0.04697,0.0277,0.00549,0.00085,0.01016
pa,leaf,704,0.00108,0.00108,-0.0001,-0.00148,0.00079
pa,leaf,705,0.00318,0.00225,0.00062,-0.00099,0.00204
pa,leaf,706,0.00839,0.01068,-0.00182,-0.0069,0.00231
pa,category,101,0.00437,0.00225,0.00102,-0.00077,0.00274
pa,category,103,0.00095,0.00112,8e-05,-0.00121,0.00099
pa,category,104,0.03065,0.02321,0.00077,-0.00548,0.00546
pa,category,105,0.00271,0.00294,0.00151,-0.00025,0.00327
pa,category,106,0.00252,0.00278,0.00046,-0.00054,0.00138
pa,category,107,0.01554,0.0096,0.00436,0.00195,0.00682
pa,category,108,0.00516,0.00439,0.00232,-0.00051,0.00572
pa,category,109,0.00082,0.00264,-0.00146,-0.004,0.00059
pa,category,110,0.00205,0.00607,-0.0024,-0.00665,0.00089
pa,category,201,0.01431,0.01608,0.00285,-0.00173,0.00748
pa,category,202,0.01624,0.03443,-0.00251,-0.00728,0.00192
pa,category,203,0.00061,0.00354,-0.00238,-0.00589,0.00033
pa,category,204,0.00117,0.00181,0.00049,-0.00133,0.00197
pa,category,301,0.01636,0.01168,0.00597,0.0018,0.01004
pa,category,302,0.00095,0.00085,0.00022,-0.00064,0.00085
pa,category,303,0.01576,0.02111,-0.00107,-0.00993,0.00584
pa,category,304,0.0047,0.03013,-0.01472,-0.03192,-0.00296
pa,category,305,0.02375,0.02703,-0.00118,-0.01315,0.00858
pa,category,401,0.01214,0.01878,-0.00544,-0.01666,0.0038
pa,category,402,0.04259,0.02078,0.00689,0.00328,0.01039
pa,category,403,0.04142,0.03582,0.01084,0.00105,0.02017
pa,category,404,0.0039,0.00308,-9e-05,-0.00215,0.00153
pa,category,405,0.00126,0.00128,0.00012,-0.00062,0.00073
pa,category,406,0.0052,0.01187,-0.00527,-0.01069,-0.00057
pa,category,407,0.00626,0.0034,0.00078,-0.00097,0.00228
pa,category,408,0.00212,0.00276,-0.00042,-0.00237,0.00107
pa,category,409,0.00535,0.0029,-0.0003,-0.00282,0.00148
pa,category,410,0.0357,0.02053,0.0029,-0.00219,0.00787
pa,category,411,0.09424,0.06055,0.0036,-0.00326,0.00987
pa,category,412,0.00456,0.0084,-0.003,-0.00715,0.0003
pa,category,413,0.00397,0.01454,-0.00596,-0.01475,0.00044
pa,category,414,0.01193,0.00766,0.00565,0.00258,0.00869
pa,category,416,0.0298,0.03007,0.00056,-0.0055,0.00595
pa,category,501,0.05621,0.0573,0.00023,-0.00848,0.00785
pa,category,502,0.02005,0.01581,-0.00333,-0.00821,0.00047
pa,category,503,0.06674,0.08281,0.00332,-0.00888,0.01477
pa,category,504,0.13094,0.12198,-0.00087,-0.01367,0.01183
pa,category,505,0.00339,0.00481,-0.00113,-0.00382,0.00134
pa,category,506,0.04602,0.05713,-0.0033,-0.01027,0.00328
pa,category,507,0.00052,0.00159,-0.00094,-0.00306,0.00051
pa,category,601,0.01994,0.0217,0.00225,-0.00801,0.01026
pa,category,602,0.00853,0.00694,0.00287,-0.00076,0.00641
pa,category,603,0.0042,0.01357,-0.00728,-0.01597,-0.00053
pa,category,604,0.0024,0.00484,-0.00096,-0.00468,0.00202
pa,category,605,0.05218,0.05465,-0.00099,-0.00931,0.0059
pa,category,606,0.00746,0.00761,0.00115,-0.00099,0.00296
pa,category,607,0.02084,0.02121,-0.00025,-0.00519,0.00455
pa,category,701,0.03991,0.04103,-0.00072,-0.00654,0.00429
pa,category,702,0.00199,0.00122,0.00058,-0.00082,0.00189
pa,category,703,0.04697,0.0277,0.00549,0.00085,0.01021
pa,category,704,0.00108,0.00108,-0.0001,-0.00132,0.00079
pa,category,705,0.00318,0.00225,0.00062,-0.00112,0.00198
pa,category,706,0.00839,0.01068,-0.00182,-0.00673,0.00233
pa,domain,domain_1,0.06478,0.05499,0.00666,0.00022,0.01171
pa,domain,domain_2,0.03233,0.05586,-0.00155,-0.01016,0.0075
pa,domain,domain_3,0.06152,0.09081,-0.01078,-0.04019,0.00978
pa,domain,domain_4,0.30043,0.24242,0.01086,-0.00295,0.02555
pa,domain,domain_5,0.32387,0.34145,-0.00602,-0.02721,0.01561
pa,domain,domain_6,0.11555,0.13051,-0.00321,-0.01717,0.01147
pa,domain,domain_7,0.10152,0.08396,0.00404,-0.00392,0.01196
