wave,coder,code,name,bes_share,model_share,gap
4,human,49,Covid-economy,0.0,0.00028,-0.00028
4,human,50,Gender/sexuality/family,0.00082,0.00071,0.00011
5,human,1,Health,0.13112,0.13087,0.00025
5,human,2,Education,0.01121,0.01093,0.00027
5,human,3,Election outcome,0.02396,0.0247,-0.00074
5,human,4,Pol-neg,0.01514,0.01566,-0.00052
5,human,5,Partisan-neg,0.01693,0.01572,0.0012
5,human,6,Societal divides,0.00119,0.00169,-0.0005
5,human,7,Morals,0.00226,0.00263,-0.00036
5,human,8,"Nat ident, goals-loss",0.00179,0.00191,-0.00012
5,human,9,Racism/discrimination,0.00072,0.00103,-0.00031
5,human,10,Welfare,0.01538,0.01545,-7e-05
5,human,11,Terrorism,0.01979,0.01961,0.00017
5,human,12,Immigration,0.22541,0.22478,0.00063
5,human,13,Asylum,0.0,9e-05,-9e-05
5,human,14,Crime,0.00453,0.00458,-5e-05
5,human,15,Europe,0.01943,0.01958,-0.00015
5,human,16,Constitutional,0.00191,0.00199,-8e-05
5,human,17,International trade,0.0006,0.00067,-7e-05
5,human,18,Devolution,0.00119,0.00122,-2e-05
5,human,19,Scot-ind,0.00703,0.00667,0.00036
5,human,21,Foreign affairs,0.00167,0.00197,-0.0003
5,human,22,War,0.00095,0.00106,-0.00011
5,human,23,Defence,0.00787,0.00747,0.0004
5,human,24,Foreign emergency,0.0,1e-05,-1e-05
5,human,25,Domestic emergency,0.0,0.00011,-0.00011
5,human,26,Economy-general,0.2632,0.26351,-0.00031
5,human,27,Economy-personal,0.00036,0.00048,-0.00012
5,human,28,Unemployment,0.02348,0.02289,0.00059
5,human,29,Taxation,0.00441,0.00451,-0.0001
5,human,30,Debt/deficit,0.03314,0.0324,0.00074
5,human,31,Inflation,0.00024,0.00048,-0.00024
5,human,32,Living costs,0.02086,0.021,-0.00014
5,human,33,Poverty,0.01669,0.01703,-0.00034
5,human,34,Austerity,0.02837,0.02705,0.00132
5,human,35,Inequality,0.0416,0.0409,0.00071
5,human,36,Housing,0.02217,0.02228,-0.00011
5,human,37,Social care,0.00131,0.00137,-5e-05
5,human,38,Pensions/ageing,0.0037,0.00361,8e-05
5,human,39,Transport/infrastructure,0.00119,0.00129,-0.0001
5,human,40,Environment,0.01871,0.01909,-0.00037
5,human,41,Pol values-auth,0.0,0.00043,-0.00043
5,human,42,Pol values-liberal,0.00179,0.0017,8e-05
5,human,43,Pol values-right,0.0006,0.00049,0.0001
5,human,44,Pol values-left,0.00262,0.00271,-9e-05
5,human,45,Other,0.00036,0.00023,0.00013
5,human,46,Uncoded,0.00429,0.00448,-0.00018
5,human,47,Referendum unspecified,0.0,0.00024,-0.00024
5,human,48,Coronavirus,0.0,0.0005,-0.0005
5,human,49,Covid-economy,0.0,0.00028,-0.00028
5,human,50,Gender/sexuality/family,0.00083,0.00067,0.00017
6,human,1,Health,0.11961,0.11956,5e-05
6,human,2,Education,0.00875,0.00855,0.00019
6,human,3,Election outcome,0.00591,0.00811,-0.0022
6,human,4,Pol-neg,0.02143,0.0208,0.00063
6,human,5,Partisan-neg,0.05728,0.0539,0.00338
6,human,6,Societal divides,0.00308,0.00315,-7e-05
6,human,7,Morals,0.00234,0.00232,2e-05
6,human,8,"Nat ident, goals-loss",0.00148,0.00179,-0.00031
6,human,9,Racism/discrimination,0.00062,0.0009,-0.00028
6,human,10,Welfare,0.01922,0.01878,0.00044
6,human,11,Terrorism,0.01491,0.01505,-0.00015
6,human,12,Immigration,0.20978,0.20988,-0.0001
6,human,13,Asylum,0.00025,0.00019,6e-05
6,human,14,Crime,0.00468,0.00461,7e-05
6,human,15,Europe,0.03511,0.03599,-0.00088
6,human,16,Constitutional,0.00579,0.00572,7e-05
6,human,17,International trade,0.00086,0.00084,3e-05
6,human,18,Devolution,0.00382,0.00393,-0.00011
6,human,19,Scot-ind,0.01774,0.01712,0.00062
6,human,21,Foreign affairs,0.0016,0.0016,-0.0
6,human,22,War,0.00012,0.00042,-0.00029
6,human,23,Defence,0.00591,0.00608,-0.00017
6,human,24,Foreign emergency,0.0,2e-05,-2e-05
6,human,25,Domestic emergency,0.00012,6e-05,6e-05
6,human,26,Economy-general,0.24353,0.24332,0.00021
6,human,27,Economy-personal,0.00037,0.00037,0.0
6,human,28,Unemployment,0.01798,0.01749,0.0005
6,human,29,Taxation,0.00407,0.00382,0.00024
6,human,30,Debt/deficit,0.02858,0.02813,0.00044
6,human,31,Inflation,0.00037,0.00049,-0.00012
6,human,32,Living costs,0.01466,0.01527,-0.00061
6,human,33,Poverty,0.01293,0.01378,-0.00085
6,human,34,Austerity,0.04595,0.04531,0.00064
6,human,35,Inequality,0.03757,0.03765,-8e-05
6,human,36,Housing,0.01885,0.01851,0.00034
6,human,37,Social care,0.00099,0.00136,-0.00037
6,human,38,Pensions/ageing,0.0032,0.00313,8e-05
6,human,39,Transport/infrastructure,0.00074,0.00071,3e-05
6,human,40,Environment,0.01663,0.01701,-0.00038
6,human,41,Pol values-auth,0.00049,0.00059,-0.0001
6,human,42,Pol values-liberal,0.00407,0.00402,5e-05
6,human,43,Pol values-right,0.00037,0.00035,1e-05
6,human,44,Pol values-left,0.00345,0.00363,-0.00018
6,human,45,Other,0.00025,0.00014,0.00011
6,human,46,Uncoded,0.00357,0.00352,6e-05
6,human,47,Referendum unspecified,0.00037,0.00039,-2e-05
6,human,48,Coronavirus,0.0,0.00083,-0.00083
6,human,49,Covid-economy,0.0,0.00022,-0.00022
6,human,50,Gender/sexuality/family,0.00062,0.0006,1e-05
7,human,1,Health,0.07703,0.07671,0.00032
7,human,2,Education,0.00636,0.00633,3e-05
7,human,3,Election outcome,0.00168,0.00167,1e-05
7,human,4,Pol-neg,0.01836,0.01932,-0.00096
7,human,5,Partisan-neg,0.01296,0.01262,0.00034
7,human,6,Societal divides,0.0012,0.00148,-0.00028
7,human,7,Morals,0.00264,0.00283,-0.00019
7,human,8,"Nat ident, goals-loss",0.00216,0.00206,0.0001
7,human,9,Racism/discrimination,0.00192,0.00227,-0.00035
7,human,10,Welfare,0.00852,0.00845,7e-05
7,human,11,Terrorism,0.054,0.054,-0.0
